phase,context_length,decode_steps,op_type,provider,profile_count,call_count,total_us,mean_us
prefill,512,0,And,CPUExecutionProvider,3,18,185.0,10.277777777777779
prefill,512,0,Greater,CPUExecutionProvider,3,3,50.0,16.666666666666668
prefill,512,0,Range,CPUExecutionProvider,3,9,50.0,5.555555555555555
prefill,512,0,LessOrEqual,CPUExecutionProvider,3,3,47.0,15.666666666666666
prefill,512,0,Cast,CPUExecutionProvider,3,6,37.0,6.166666666666667
prefill,512,0,Sub,CPUExecutionProvider,3,3,37.0,12.333333333333334
prefill,512,0,Flatten,CPUExecutionProvider,3,3,15.0,5.0
decode,512,1,MatMul,CPUExecutionProvider,3,633,393491.0,621.6287519747235
decode,512,1,Concat,CPUExecutionProvider,3,795,11611.0,14.605031446540881
decode,512,1,SimplifiedLayerNormalization,CPUExecutionProvider,3,471,11116.0,23.60084925690021
decode,512,1,Expand,CPUExecutionProvider,3,168,8873.0,52.81547619047619
decode,512,1,Unsqueeze,CPUExecutionProvider,3,1377,6162.0,4.474945533769064
decode,512,1,Mul,CPUExecutionProvider,3,1020,5916.0,5.8
decode,512,1,Gather,CPUExecutionProvider,3,1038,5748.0,5.53757225433526
decode,512,1,FusedMatMul,CPUExecutionProvider,3,78,5608.0,71.8974358974359
decode,512,1,Reshape,CPUExecutionProvider,3,636,4883.0,7.677672955974843
decode,512,1,Add,CPUExecutionProvider,3,555,3151.0,5.677477477477478
decode,512,1,Slice,CPUExecutionProvider,3,390,2929.0,7.51025641025641
decode,512,1,Where,CPUExecutionProvider,3,318,2450.0,7.70440251572327
decode,512,1,Shape,CPUExecutionProvider,3,486,2137.0,4.397119341563786
decode,512,1,Transpose,CPUExecutionProvider,3,318,1699.0,5.3427672955974845
